time,V,i,duration,Pratio,runtime,cumsum_Pratio
2025-02-19 16:47:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-20 00:05:00,0.0,0.0,26280.0,0.0,26280.0,0.0
